id,country,lat,lon
0,Italy,42.833333,12.833333
1,Portugal,39.5,-8
2,US,39.828175,-98.5795
3,Spain,40,-4
4,France,46,2
5,Germany,51.5,10.5
6,Argentina,-34,-64
7,Chile,-30,-71
8,Australia,-25,135
9,Austria,47.333333,13.333333
10,South Africa,-30,26
11,New Zealand,-42,174
12,Israel,31.5,34.75
13,Hungary,47,20
14,Greece,39,22
15,Romania,46,25
16,Mexico,23,-102
17,Canada,60,-96
18,0,0,0
19,Turkey,39.059012,34.911546
20,Czech Republic,49.75,15
21,Slovenia,46.25,15.166667
22,Luxembourg,49.75,6.166667
23,Croatia,45.166667,15.5
24,Georgia,41.999981,43.499905
25,Uruguay,-33,-56
26,England,54,-4
27,Lebanon,33.833333,35.833333
28,Serbia,44,21
29,Brazil,-10,-55
30,Moldova,47,29
31,Morocco,32,-5
32,Peru,-10,-76
33,India,20,77
34,Bulgaria,43,25
35,Cyprus,35,33
36,Armenia,40,45
37,Switzerland,47,8
38,Bosnia and Herzegovina,44.25,17.833333
39,Ukraine,49,32
40,Slovakia,48.666667,19.5
41,Macedonia,41.833333,22
42,China,35,105
43,Egypt,27,30
