,province,pro_lat,pro_lon,country_id
0,Sicily & Sardinia,37.5999938,14.0153557,0.0
1,Douro,41.5120194,-5.4922548,1.0
2,Oregon,43.8041334,-120.5542012,2.0
3,Michigan,44.3148443,-85.60236429999999,2.0
4,Northern Spain,43.2635883,-2.9290679,3.0
5,Alsace,48.3181795,7.441624099999999,4.0
6,Rheinhessen,51.5,10.5,5.0
7,California,36.778261,-119.4179324,2.0
8,Mosel,49.1169679,6.7399173,5.0
9,Other,-34.0,-64.0,6.0
10,Mendoza Province,-32.8896247,-68.8526867,6.0
11,Virginia,37.4315734,-78.6568942,2.0
12,Beaujolais,46.0,2.0,4.0
13,Colchagua Valley,-34.6403625,-71.3654431,7.0
14,Southern Italy,40.105747,15.540697,0.0
15,Maule Valley,-36.0,-72.0,7.0
16,Bordeaux,44.837789,-0.57918,4.0
17,Maipo Valley,-33.444962,-70.64828299999999,7.0
18,Washington,47.7510741,-120.7401385,2.0
19,Central Italy,41.87194,12.56738,0.0
20,Champagne,46.0,2.0,4.0
21,Burgundy,47.0525047,4.3837215,4.0
22,South Australia,-30.0002315,136.2091547,8.0
23,Tejo,39.5,-8.0,1.0
24,Rapel Valley,-30.0,-71.0,7.0
25,Galicia,40.0,-4.0,3.0
26,France Other,43.6665379,7.125331999999999,4.0
27,Tuscany,43.7710513,11.2486208,0.0
28,Burgenland,47.15371649999999,16.2688797,9.0
29,New York,40.7127753,-74.0059728,2.0
30,Leyda Valley,-33.61315740000001,-71.4501843,7.0
31,Piedmont,42.833333,12.833333,0.0
32,Stellenbosch,-33.9321045,18.860152,10.0
33,Simonsberg-Stellenbosch,-33.931612,18.870009,10.0
34,Walker Bay,-30.0,26.0,10.0
35,Alentejano,39.5,-8.0,1.0
36,Central Spain,40.46366700000001,-3.74922,3.0
37,Southwest France,46.0,2.0,4.0
38,Aconcagua Valley,-30.0,-71.0,7.0
39,Loncomilla Valley,-35.6757054,-71.7741083,7.0
40,Marlborough,51.420073,-1.727062,11.0
41,Northeastern Italy,42.833333,12.833333,0.0
42,Casablanca Valley,-33.3190376,-71.40763179999999,7.0
43,Veneto,45.76233329999999,11.690976,0.0
44,Western Cape,-33.2277918,21.8568586,10.0
45,Judean Hills,31.6666667,35.1666667,12.0
46,Alentejo,39.5,-8.0,1.0
47,Coastal Region,-30.0,26.0,10.0
48,Rhône Valley,45.1695797,5.4502821,4.0
49,Galilee,31.5,34.75,12.0
50,Beira Atlantico,39.5,-8.0,1.0
51,Tokaj,48.1172148,21.4089015,13.0
52,Leithaberg,47.9666667,16.6666667,9.0
53,Santorini,36.3931562,25.4615092,14.0
54,Kremstal,47.333333,13.333332999999998,9.0
55,Catalonia,41.5911589,1.5208624,3.0
56,Recas,46.0,25.0,15.0
57,Hawke's Bay,-39.1089867,176.7416374,11.0
58,Curicó Valley,-34.9859489,-71.2417746,7.0
59,Limarí Valley,-30.7462002,-71.0022311,7.0
60,Colchagua Costa,-30.0,-71.0,7.0
61,Languedoc-Roussillon,43.5912356,3.2583626,4.0
62,Provence,44.0144936,6.2116438,4.0
63,Victoria,-25.0,135.0,8.0
64,Rheingau,51.5,10.5,5.0
65,Tokaji,47.0,20.0,13.0
66,Naoussa,37.1235743,25.238722,14.0
67,Valle de Guadalupe,32.0956281,-116.572572,16.0
68,Central Valley,40.19987769999999,-122.2011075,7.0
69,Lontué Valley,-30.0,-71.0,7.0
70,Italy Other,44.1002299,9.8269114,0.0
71,Weinviertel,47.333333,13.333332999999998,9.0
72,Thermenregion,47.333333,13.333332999999998,9.0
73,Niederösterreich,48.10807699999999,15.8049558,9.0
74,Wagram,47.333333,13.333332999999998,9.0
75,Loire Valley,47.5532402,1.0105289,4.0
76,Lombardy,45.47906709999999,9.8452433,0.0
77,Ontario,51.253775,-85.323214,17.0
78,Österreichischer Sekt,47.333333,13.333332999999998,9.0
79,Kamptal,48.5102792,15.4535824,9.0
80,Steiermark,47.3593442,14.4699827,9.0
81,Südsteiermark,47.333333,13.333332999999998,9.0
82,Crete,35.240117,24.8092691,14.0
83,Vinho Verde,39.5,-8.0,1.0
84,Idaho,44.0682019,-114.7420408,2.0
85,Western Australia,-27.6728168,121.6283098,8.0
86,Levante,40.0,-4.0,3.0
87,Martinborough,-41.2190932,175.4600651,11.0
88,Central Otago,-44.9566315,169.3988451,11.0
89,Lisboa,38.7222524,-9.1393366,1.0
90,Texas,31.9685988,-99.9018131,2.0
91,Península de Setúbal,38.5714934,-8.9001054,1.0
92,Australia Other,-25.0,135.0,8.0
93,Tasmania,-41.4545196,145.9706647,8.0
94,Franken,51.5,10.5,5.0
95,Ahr,51.5,10.5,5.0
96,Nahe,49.7470602,7.4749495,5.0
97,,,,
98,Dealu Mare,46.0,25.0,15.0
99,Port,39.5,-8.0,1.0
100,Darling,-30.0,26.0,10.0
101,Chile,-35.675147,-71.542969,7.0
102,Südoststeiermark,46.8885229,15.8936247,9.0
103,Corinth,37.9386365,22.9322383,14.0
104,Halkidiki,40.3694997,23.287085,14.0
105,Thrace,39.059012,34.911546,19.0
106,Pfalz,49.48221160000001,7.860948100000001,5.0
107,Robertson,-30.0,26.0,10.0
108,Dan,31.5,34.75,12.0
109,Northwestern Italy,44.3323859,7.566486299999999,0.0
110,Andalucia,37.5442706,-4.7277528,3.0
111,Awatere Valley,-42.0851991,173.261074,11.0
112,Wiener Gemischter Satz,48.2558375,16.3422487,9.0
113,Wachau,48.3896089,15.4748897,9.0
114,Pennsylvania,41.2033216,-77.1945247,2.0
115,Swartland,-30.0,26.0,10.0
116,Dão,39.5,-8.0,1.0
117,Wagram-Donauland,47.333333,13.333332999999998,9.0
118,Rio Claro,-22.4149023,-47.5651394,7.0
119,Villány,45.87003989999999,18.453201,13.0
120,Cachapoal Valley,-34.2973849,-70.7639428,7.0
121,Jidvei,46.2226645,24.1098947,15.0
122,America,37.09024,-95.712891,2.0
123,Traisental,48.12709719999999,15.672287,9.0
124,Bairrada,39.5,-8.0,1.0
125,Negev Hills,30.7140861,34.8757476,12.0
126,Ribatejano,39.5,-8.0,1.0
127,Duriense,39.5,-8.0,1.0
128,New Jersey,40.0583238,-74.4056612,2.0
129,Beiras,39.5,-8.0,1.0
130,Spanish Islands,39.0200099,1.4821482,3.0
131,Upper Galilee,31.5,34.75,12.0
132,Vinho Espumante,39.5,-8.0,1.0
133,Epanomi,40.4289764,22.9304174,14.0
