,winery,country_id,province_id
0,Nicosia,0.0,0.0
1,Quinta dos Avidagos,1.0,1.0
2,Rainstorm,2.0,2.0
3,St. Julian,2.0,3.0
4,Sweet Cheeks,2.0,2.0
5,Tandem,3.0,4.0
6,Terre di Giurfo,0.0,0.0
7,Trimbach,4.0,5.0
8,Heinz Eifel,5.0,6.0
9,Jean-Baptiste Adam,4.0,5.0
10,Kirkland Signature,2.0,7.0
11,Leon Beyer,4.0,5.0
12,Louis M. Martini,2.0,7.0
13,Masseria Setteporte,0.0,0.0
14,Mirassou,2.0,7.0
15,Richard Böcking,5.0,8.0
16,Felix Lavaque,6.0,9.0
17,Gaucho Andino,6.0,10.0
18,Pradorey,3.0,4.0
19,Quiévremont,2.0,11.0
20,Acrobat,2.0,2.0
21,Baglio di Pianetto,0.0,0.0
22,Bianchi,2.0,7.0
23,Canicattì,0.0,0.0
24,Castello di Amorosa,2.0,7.0
25,Stemmari,0.0,0.0
26,Clarksburg Wine Company,2.0,7.0
27,Domaine de la Madone,4.0,12.0
28,Duca di Salaparuta,0.0,0.0
29,Envolve,2.0,7.0
30,Erath,2.0,2.0
31,Estampa,7.0,13.0
32,Feudi del Pisciotto,0.0,0.0
33,Feudi di San Marzano,0.0,14.0
34,Feudo di Santa Tresa,0.0,0.0
35,Feudo Montoni,0.0,0.0
36,Hawkins Cellars,2.0,2.0
37,Henry Fessy,4.0,12.0
38,Robert Hall,2.0,7.0
39,Sundance,7.0,15.0
40,Tarara,2.0,11.0
41,Tasca d'Almerita,0.0,0.0
42,The White Knight,2.0,7.0
43,Trump,2.0,11.0
44,Vignerons de Bel Air,4.0,12.0
45,Viticultori Associati Canicatti,0.0,0.0
46,Casa Silva,7.0,13.0
47,Cantine di Dolianova,0.0,0.0
48,Château de Sours,4.0,16.0
49,Corvo,0.0,0.0
50,RustRidge,2.0,7.0
51,Souverain,2.0,7.0
52,Tres Palacios,7.0,17.0
53,Mellisoni,2.0,18.0
54,Okapi,2.0,7.0
55,Podere dal Nespoli,0.0,19.0
56,Ram,2.0,18.0
57,Roland Champion,4.0,20.0
58,Sevtap,2.0,7.0
59,Simonnet-Febvre,4.0,21.0
60,Vignerons des Terres Secrètes,4.0,21.0
61,Basel Cellars,2.0,18.0
62,Cocobon,2.0,7.0
63,Collet,4.0,20.0
64,Drumheller,2.0,18.0
65,Eco Terreno,2.0,7.0
66,Grifalco,0.0,14.0
67,Hindsight,2.0,7.0
68,Mulvane Wine Co.,2.0,7.0
69,Schmitt Söhne,5.0,6.0
70,Yalumba,8.0,22.0
71,Z'IVO,2.0,2.0
72,Adega Cooperativa do Cartaxo,1.0,23.0
73,Aresti,7.0,24.0
74,Spyro,3.0,25.0
75,Lionel Osmin & Cie,4.0,26.0
76,Mitolo,8.0,22.0
